c c P h p p h f p p f f
 c P b p p p f f f h f
c c p p p p h f p f p f
 c p b p p p h p f h p
c c h p p p p h p p p c
 c h P p p p p b p h f
c H p p p p p h P h p P
 h p P p p p p h H f p
h P p p p p p p f F W P
 p P P p p p p F F W P
p p P f p p p P F W W p
 p P P p p p p F W c P
f p p c p p p p W c p p
 f P f F p p p p c p b p h f f
f f p F p p p p c c p P h p f P
 f P f P p p p W c P f H p f p P
f f p p P p p p W p f f P p p P
 f P p P P b p p P P f f P p P p
f f p p p P p p f p F f P P P p
 f P p P p P p f F P f P p P p p
f P p p p p P f f p f c p P p p
 P p p P f F P f P P c p p p p p
f P p p f p F p p p H P p P p p
 P p p P f F b p P p p p p p p f
p p f p f F F P p p h P p P p f
 P f f P f F p P P p p p p p f f
p p f p p p F P P p h P p F f f
 P f f P p F P p P p p p F F f f
p c f P p p P p p P h P p F f f
 P c P c p P p p p H p p p p p p
f F P p P P p p p h P F p P P W
 P F P p P p F p h p F p p P W W
f F p P p p F p h p P F p P P b
 P p p p p F c p p p P p p p W W
f p p P p p c F h p p P p P W W
 P p p p p P c p p p F P p p c c
p p p P p P F F h p p F P F c c
 P p p P P p F h p p P F F F c c
p p p p P p p P p p p P p F c c
 P F F p p p P H P p p P F F c c
f F f f P P P h P P P p P F p c
 F f F f P P p p P P P P P P c c
F f f F p p p h p p p P F F P c
 f f f f P p h p p p p f F P P c
F f f F f p p p p p p p f p p c
